reporterISO,reporter,partnerISO,partner,sector,commodity_code,commodity,trade_value_usd,year,flow
AUS,Australia,ITA,Italy,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",16492166.033,2025,Export
AUS,Australia,JPN,Japan,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",13121782211.572,2025,Export
AUS,Australia,KEN,Kenya,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",4609110.627,2025,Export
AUS,Australia,KHM,Cambodia,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",218910.09,2025,Export
AUS,Australia,KIR,Kiribati,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",194657.48,2025,Export
AUS,Australia,KOR,Rep. of Korea,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",4852248504.75,2025,Export
AUS,Australia,LAO,Lao People's Dem. Rep.,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",10512.901,2025,Export
AUS,Australia,LBN,Lebanon,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",515.465,2025,Export
AUS,Australia,LBY,Libya,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",837.63,2025,Export
AUS,Australia,LKA,Sri Lanka,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",916.238,2025,Export
AUS,Australia,LUX,Luxembourg,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",39072873.822,2025,Export
AUS,Australia,MDV,Maldives,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",45637.948,2025,Export
AUS,Australia,MEX,Mexico,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",20467971.678,2025,Export
AUS,Australia,MHL,Marshall Isds,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",97859.669,2025,Export
AUS,Australia,MLT,Malta,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",17735.204,2025,Export
AUS,Australia,MMR,Myanmar,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",567495.614,2025,Export
AUS,Australia,MNG,Mongolia,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",10632.746,2025,Export
AUS,Australia,MOZ,Mozambique,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",32603.137,2025,Export
AUS,Australia,MRT,Mauritania,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",5131.45,2025,Export
AUS,Australia,MYS,Malaysia,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1362721806.592,2025,Export
AUS,Australia,NAM,Namibia,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",5280.935,2025,Export
AUS,Australia,NCL,New Caledonia,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",37266250.884,2025,Export
AUS,Australia,NFK,Norfolk Isds,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",178236.066,2025,Export
AUS,Australia,NGA,Nigeria,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",29639.215,2025,Export
AUS,Australia,NLD,Netherlands,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1438530846.171,2025,Export
AUS,Australia,NOR,Norway,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",31870.533,2025,Export
AUS,Australia,NPL,Nepal,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",319227.237,2025,Export
AUS,Australia,NRU,Nauru,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",358925.744,2025,Export
AUS,Australia,NZL,New Zealand,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",109277988.926,2025,Export
AUS,Australia,OMN,Oman,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",5240.342,2025,Export
AUS,Australia,PAK,Pakistan,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",33230.715,2025,Export
AUS,Australia,PER,Peru,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",80137.995,2025,Export
AUS,Australia,PHL,Philippines,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",39175065.97,2025,Export
AUS,Australia,PNG,Papua New Guinea,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",98764347.747,2025,Export
AUS,Australia,POL,Poland,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",36601644.313,2025,Export
AUS,Australia,PRT,Portugal,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",96721.781,2025,Export
AUS,Australia,PYF,French Polynesia,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",3293479.978,2025,Export
AUS,Australia,ROU,Romania,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",78.608,2025,Export
AUS,Australia,S19,"Other Asia, nes",energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",3049617882.349,2025,Export
AUS,Australia,SAU,Saudi Arabia,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",114095.515,2025,Export
AUS,Australia,SEN,Senegal,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",11598.598,2025,Export
AUS,Australia,SGP,Singapore,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2261549693.996,2025,Export
AUS,Australia,SLB,Solomon Isds,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2353728.705,2025,Export
AUS,Australia,SVN,Slovenia,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",91331111.515,2025,Export
AUS,Australia,SWE,Sweden,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",171053631.913,2025,Export
AUS,Australia,THA,Thailand,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",529089568.741,2025,Export
AUS,Australia,TLS,Timor-Leste,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",4491021.549,2025,Export
AUS,Australia,TON,Tonga,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2302664.847,2025,Export
AUS,Australia,TUR,Türkiye,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",242026238.393,2025,Export
AUS,Australia,TUV,Tuvalu,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",231.959,2025,Export
