reporterISO,reporter,partnerISO,partner,sector,commodity_code,commodity,trade_value_usd,year,flow
TUR,Türkiye,LSO,Lesotho,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",10575.0,2025,Export
TUR,Türkiye,LSO,Lesotho,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",10575.0,2025,Export
TUR,Türkiye,LTU,Lithuania,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",36198431.0,2025,Export
TUR,Türkiye,LTU,Lithuania,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",36198431.0,2025,Export
TUR,Türkiye,LTU,Lithuania,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",61266327.0,2025,Export
TUR,Türkiye,LTU,Lithuania,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",61266327.0,2025,Export
TUR,Türkiye,LUX,Luxembourg,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",9079635.0,2025,Export
TUR,Türkiye,LUX,Luxembourg,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",9079635.0,2025,Export
TUR,Türkiye,LUX,Luxembourg,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",3737336.0,2025,Export
TUR,Türkiye,LUX,Luxembourg,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",3737336.0,2025,Export
TUR,Türkiye,LVA,Latvia,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",15676572.0,2025,Export
