typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","214","DOM","Dominican Rep.","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"27340679.45","27340679.45","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","218","ECU","Ecuador","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"71885293.88","71885293.88","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","222","SLV","El Salvador","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"11145903.85","11145903.85","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","251","FRA","France","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"39155","39155","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","266","GAB","Gabon","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"127370.87","127370.87","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","270","GMB","Gambia","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"2446170","2446170","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","276","DEU","Germany","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"169965.84","169965.84","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","288","GHA","Ghana","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"37102369.24","37102369.24","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","300","GRC","Greece","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"346648.19","346648.19","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","320","GTM","Guatemala","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"10768180.18","10768180.18","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","324","GIN","Guinea","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"2588886","2588886","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","340","HND","Honduras","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"665066.8","665066.8","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","858","URY","Uruguay","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"34160511.75","34160511.75","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","862","VEN","Venezuela","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"83705324.47","83705324.47","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","887","YEM","Yemen","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"87193560.37","87193560.37","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","818","EGY","Egypt","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"366108548.41","366108548.41","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","826","GBR","United Kingdom","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"27381014.91","27381014.91","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","834","TZA","United Rep. of Tanzania","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"7061380","7061380","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","842","USA","USA","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"45330533.77","45330533.77","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","604","PER","Peru","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1011223822.04","1011223822.04","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","608","PHL","Philippines","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"95474583.35","95474583.35","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","616","POL","Poland","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"17254141.04","17254141.04","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","620","PRT","Portugal","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1851194.38","1851194.38","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","634","QAT","Qatar","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"16255275.6","16255275.6","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","682","SAU","Saudi Arabia","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"793462785.89","793462785.89","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","686","SEN","Senegal","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"98580598.06","98580598.06","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","699","IND","India","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"19449798.08","19449798.08","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","704","VNM","Viet Nam","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1262405039.75","1262405039.75","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","710","ZAF","South Africa","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"57715262.9","57715262.9","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","724","ESP","Spain","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"57821065.91","57821065.91","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","768","TGO","Togo","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"246023.98","246023.98","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","784","ARE","United Arab Emirates","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"113416927.05","113416927.05","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","792","TUR","Türkiye","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"35319124.8","35319124.8","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","800","UGA","Uganda","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"36154392.4","36154392.4","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","152","CHL","Chile","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"538284290.08","538284290.08","0","false","true",
