reporterISO,reporter,partnerISO,partner,sector,commodity_code,commodity,trade_value_usd,year,flow
AUS,Australia,FSM,FS Micronesia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",339979.198,2025,Export
AUS,Australia,GAB,Gabon,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1909.152,2025,Export
AUS,Australia,GBR,United Kingdom,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",68797400.568,2025,Export
AUS,Australia,GEO,Georgia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17096.673,2025,Export
AUS,Australia,GHA,Ghana,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2712697.619,2025,Export
AUS,Australia,GIB,Gibraltar,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",15700.408,2025,Export
AUS,Australia,GIN,Guinea,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1577146.467,2025,Export
AUS,Australia,GMB,Gambia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2899.488,2025,Export
AUS,Australia,GRC,Greece,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",369360.681,2025,Export
AUS,Australia,GTM,Guatemala,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11867.284,2025,Export
AUS,Australia,GUM,Guam,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",45465.912,2025,Export
AUS,Australia,GUY,Guyana,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",148632.289,2025,Export
AUS,Australia,HKG,"China, Hong Kong SAR",automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1963734.62,2025,Export
AUS,Australia,HND,Honduras,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3990.34,2025,Export
AUS,Australia,HRV,Croatia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",396128.758,2025,Export
AUS,Australia,HTI,Haiti,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",269839.283,2025,Export
AUS,Australia,HUN,Hungary,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3315032.198,2025,Export
AUS,Australia,IDN,Indonesia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",44279415.026,2025,Export
AUS,Australia,IND,India,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3796518.031,2025,Export
AUS,Australia,IRL,Ireland,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1802376.798,2025,Export
AUS,Australia,IRQ,Iraq,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",343259.486,2025,Export
AUS,Australia,ISL,Iceland,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",81772.662,2025,Export
AUS,Australia,ISR,Israel,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1656406.884,2025,Export
AUS,Australia,ITA,Italy,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",25830721.213,2025,Export
AUS,Australia,JAM,Jamaica,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",607735.36,2025,Export
AUS,Australia,JOR,Jordan,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",105685.066,2025,Export
AUS,Australia,JPN,Japan,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",30622266.365,2025,Export
AUS,Australia,KAZ,Kazakhstan,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",319178.912,2025,Export
AUS,Australia,KEN,Kenya,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17747843.637,2025,Export
AUS,Australia,KHM,Cambodia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",516639.231,2025,Export
AUS,Australia,KIR,Kiribati,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",787811.635,2025,Export
AUS,Australia,KOR,Rep. of Korea,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13827302.886,2025,Export
AUS,Australia,KWT,Kuwait,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1543366.782,2025,Export
AUS,Australia,LAO,Lao People's Dem. Rep.,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",167801.774,2025,Export
AUS,Australia,LBN,Lebanon,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",881475.421,2025,Export
AUS,Australia,LBR,Liberia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",89239.812,2025,Export
AUS,Australia,LBY,Libya,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",49962.697,2025,Export
AUS,Australia,LCA,Saint Lucia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",122433.156,2025,Export
AUS,Australia,LKA,Sri Lanka,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",25909430.082,2025,Export
AUS,Australia,LTU,Lithuania,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17530.952,2025,Export
AUS,Australia,LUX,Luxembourg,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",54334.481,2025,Export
AUS,Australia,LVA,Latvia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",59524.565,2025,Export
AUS,Australia,MAC,"China, Macao SAR",automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",76853.841,2025,Export
AUS,Australia,MDG,Madagascar,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",60772.634,2025,Export
AUS,Australia,MEX,Mexico,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3508306.3,2025,Export
AUS,Australia,MHL,Marshall Isds,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",21090.235,2025,Export
AUS,Australia,MKD,North Macedonia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13048.342,2025,Export
AUS,Australia,MLI,Mali,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2167450.746,2025,Export
AUS,Australia,MLT,Malta,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",57617.99,2025,Export
AUS,Australia,MNG,Mongolia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2004170.242,2025,Export
AUS,Australia,MNP,N. Mariana Isds,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11593.444,2025,Export
AUS,Australia,MOZ,Mozambique,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",654677.434,2025,Export
AUS,Australia,MRT,Mauritania,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",569374.483,2025,Export
AUS,Australia,MUS,Mauritius,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",174693.536,2025,Export
AUS,Australia,MYS,Malaysia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",21598463.545,2025,Export
AUS,Australia,NAM,Namibia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",928179.093,2025,Export
AUS,Australia,NCL,New Caledonia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3923739.209,2025,Export
AUS,Australia,NFK,Norfolk Isds,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1173954.555,2025,Export
AUS,Australia,NGA,Nigeria,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8695437.685,2025,Export
AUS,Australia,NIC,Nicaragua,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",184598.833,2025,Export
AUS,Australia,NLD,Netherlands,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11892903.358,2025,Export
AUS,Australia,NOR,Norway,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1778204.729,2025,Export
AUS,Australia,NPL,Nepal,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",238723.906,2025,Export
AUS,Australia,NRU,Nauru,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1978960.156,2025,Export
AUS,Australia,NZL,New Zealand,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",471883270.219,2025,Export
AUS,Australia,OMN,Oman,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",485250.658,2025,Export
AUS,Australia,PAK,Pakistan,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6254813.244,2025,Export
AUS,Australia,PAN,Panama,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",526681.126,2025,Export
AUS,Australia,PER,Peru,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2189870.235,2025,Export
AUS,Australia,PHL,Philippines,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8193273.989,2025,Export
AUS,Australia,PLW,Palau,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17589.586,2025,Export
AUS,Australia,PNG,Papua New Guinea,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",129993806.301,2025,Export
AUS,Australia,POL,Poland,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1466478.791,2025,Export
AUS,Australia,PRT,Portugal,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",183149.088,2025,Export
AUS,Australia,PRY,Paraguay,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",121987.279,2025,Export
AUS,Australia,PYF,French Polynesia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1905748.716,2025,Export
AUS,Australia,QAT,Qatar,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1129462.871,2025,Export
AUS,Australia,ROU,Romania,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",20658.533,2025,Export
AUS,Australia,RUS,Russian Federation,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",21306.086,2025,Export
AUS,Australia,RWA,Rwanda,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",125096.819,2025,Export
AUS,Australia,S19,"Other Asia, nes",automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2615721.328,2025,Export
AUS,Australia,SAU,Saudi Arabia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6244251.374,2025,Export
AUS,Australia,SDN,Sudan,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",40270.673,2025,Export
AUS,Australia,SEN,Senegal,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",183293.418,2025,Export
AUS,Australia,SGP,Singapore,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",16769289.476,2025,Export
AUS,Australia,SLB,Solomon Isds,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3626606.074,2025,Export
AUS,Australia,SLE,Sierra Leone,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",58025.207,2025,Export
AUS,Australia,SLV,El Salvador,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",276332.849,2025,Export
AUS,Australia,SOM,Somalia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2899.488,2025,Export
